sample_id,patches_path,expr_path
SPA153,patches/SPA153.h5,adata/SPA153.h5ad
SPA152,patches/SPA152.h5,adata/SPA152.h5ad
SPA151,patches/SPA151.h5,adata/SPA151.h5ad
SPA150,patches/SPA150.h5,adata/SPA150.h5ad
SPA149,patches/SPA149.h5,adata/SPA149.h5ad
SPA148,patches/SPA148.h5,adata/SPA148.h5ad
SPA147,patches/SPA147.h5,adata/SPA147.h5ad
SPA146,patches/SPA146.h5,adata/SPA146.h5ad
SPA145,patches/SPA145.h5,adata/SPA145.h5ad
SPA144,patches/SPA144.h5,adata/SPA144.h5ad
SPA143,patches/SPA143.h5,adata/SPA143.h5ad
SPA142,patches/SPA142.h5,adata/SPA142.h5ad
SPA141,patches/SPA141.h5,adata/SPA141.h5ad
SPA140,patches/SPA140.h5,adata/SPA140.h5ad
SPA139,patches/SPA139.h5,adata/SPA139.h5ad
SPA138,patches/SPA138.h5,adata/SPA138.h5ad
SPA137,patches/SPA137.h5,adata/SPA137.h5ad
SPA130,patches/SPA130.h5,adata/SPA130.h5ad
SPA129,patches/SPA129.h5,adata/SPA129.h5ad
SPA128,patches/SPA128.h5,adata/SPA128.h5ad
SPA127,patches/SPA127.h5,adata/SPA127.h5ad
SPA126,patches/SPA126.h5,adata/SPA126.h5ad
SPA125,patches/SPA125.h5,adata/SPA125.h5ad
SPA124,patches/SPA124.h5,adata/SPA124.h5ad
SPA123,patches/SPA123.h5,adata/SPA123.h5ad
SPA122,patches/SPA122.h5,adata/SPA122.h5ad
